Date,User,Text,Link
"March 13, 2018 at 01:28PM",@realDonaldTrump,"The Economy is raging, at an all time high, and is set to get even better. Jobs and wages up. Vote for Rick Saccone and keep it going!",http://twitter.com/realDonaldTrump/status/973536164044034048
"March 13, 2018 at 01:44PM",@realDonaldTrump,"Mike Pompeo, Director of the CIA, will become our new Secretary of State. He will do a fantastic job! Thank you to Rex Tillerson for his service! Gina Haspel will become the new Director of the CIA, and the first woman so chosen. Congratulations to all!",http://twitter.com/realDonaldTrump/status/973540316656623616
"March 13, 2018 at 03:37PM",@realDonaldTrump,Heading to see the BORDER WALL prototypes in California! https://t.co/fU6Ukc271l,http://twitter.com/realDonaldTrump/status/973568677189595136
"March 13, 2018 at 04:24PM",@realDonaldTrump,"“According to the Center for Immigration Studies, the $18 billion wall will pay for itself by curbing the importation of crime, drugs and illegal immigrants who tend to go on the federal dole...” https://t.co/NdLC6jZwWE",http://twitter.com/realDonaldTrump/status/973580538358374402
"March 13, 2018 at 04:27PM",@realDonaldTrump,"California’s sanctuary policies are illegal and unconstitutional and put the safety and security of our entire nation at risk. Thousands of dangerous &amp; violent criminal aliens are released as a result of sanctuary policies, set free to prey on innocent Americans. THIS MUST STOP!",http://twitter.com/realDonaldTrump/status/973581274215473153
"March 13, 2018 at 11:23PM",@realDonaldTrump,"If we don’t have a wall system, we’re not going to have a country. Congress must fund the BORDER WALL &amp; prohibit grants to sanctuary jurisdictions that threaten the security of our country &amp; the people of our country. We must enforce our laws &amp; protect our people! #BuildTheWall https://t.co/NGqNueukvj",http://twitter.com/realDonaldTrump/status/973685997312491521
"March 14, 2018 at 12:55AM",@realDonaldTrump,"It was my great honor to deliver a message at the Marine Core Air Station Miramar to our GREAT U.S. Military, straight from the heart of the American People: We support you, we thank you, we love you - and we will always have your back! https://t.co/NEGCR6rM7Y",http://twitter.com/realDonaldTrump/status/973709151510528000
"March 14, 2018 at 01:25AM",@realDonaldTrump,"It was my great honor to deliver a message at the Marine Corps Air Station Miramar to our GREAT U.S. Military, straight from the heart of the American People: We support you, we thank you, we love you - and we will always have your back! https://t.co/oCt1nH3DON",http://twitter.com/realDonaldTrump/status/973716838889660416
"March 14, 2018 at 01:34AM",@realDonaldTrump,"All across this nation, we pray for our country and we THANK GOD for our United States Marines! Thank you. God Bless You. And God Bless America! https://t.co/vKXBd0CGH1",http://twitter.com/realDonaldTrump/status/973719038982479872
"March 14, 2018 at 02:02PM",@realDonaldTrump,"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by the Democrats in the Senate. Many important positions in Government are unfilled because of this obstruction. Worst in U.S. history!",http://twitter.com/realDonaldTrump/status/973907142649397251
"March 14, 2018 at 02:12PM",@realDonaldTrump,Perhaps at no time in history have the business fundamentals of U.S. companies been better than they are today!,http://twitter.com/realDonaldTrump/status/973909651065528320
"March 14, 2018 at 02:54PM",@realDonaldTrump,Five of our incredible @Cabinet Secretaries are testifying on the Hill this morning on the need to rebuild our Nation’s crumbling infrastructure. We need to build FAST &amp; we need to build for our FUTURE. Thank you @SenateCommerce for hosting this hearing! #InfrastructureInAmerica,http://twitter.com/realDonaldTrump/status/973920392543793154
"March 14, 2018 at 03:37PM",@realDonaldTrump,We cannot keep a blind eye to the rampant unfair trade practices against our Country!,http://twitter.com/realDonaldTrump/status/973931154796457984
